generator_model,case,track,pair_id,criterion_id,consensus_preference,support_votes,valid_votes
Qwen3.6-27B,CuAAC,assurance,P-04-69169,OVERALL,FlowPilot,6,6
Qwen3.6-27B,CuAAC,outcome,P-04-69169,O-01,TIE,3,6
Qwen3.6-27B,CuAAC,outcome,P-04-69169,O-02,FlowPilot,4,6
Qwen3.6-27B,CuAAC,outcome,P-04-69169,O-03,TIE,3,6
Qwen3.6-27B,CuAAC,outcome,P-04-69169,O-04,FlowPilot,3,6
Qwen3.6-27B,CuAAC,outcome,P-04-69169,O-05,One-shot,4,6
Qwen3.6-27B,CuAAC,outcome,P-04-69169,O-06,TIE,3,6
Qwen3.6-27B,CuAAC,outcome,P-04-69169,OVERALL,TIE,3,6
Qwen3.6-27B,Hydrogenolysis,assurance,P-05-A6ACE,A-01,FlowPilot,6,6
Qwen3.6-27B,Hydrogenolysis,assurance,P-05-A6ACE,A-02,FlowPilot,6,6
Qwen3.6-27B,Hydrogenolysis,assurance,P-05-A6ACE,A-03,FlowPilot,6,6
Qwen3.6-27B,Hydrogenolysis,assurance,P-05-A6ACE,A-04,FlowPilot,6,6
Qwen3.6-27B,Hydrogenolysis,assurance,P-05-A6ACE,A-05,FlowPilot,6,6
Qwen3.6-27B,Hydrogenolysis,assurance,P-05-A6ACE,A-06,FlowPilot,6,6
Qwen3.6-27B,Hydrogenolysis,assurance,P-05-A6ACE,OVERALL,FlowPilot,6,6
Qwen3.6-27B,Hydrogenolysis,outcome,P-05-A6ACE,O-01,FlowPilot,4,6
Qwen3.6-27B,Hydrogenolysis,outcome,P-05-A6ACE,O-02,FlowPilot,4,6
Qwen3.6-27B,Hydrogenolysis,outcome,P-05-A6ACE,O-03,FlowPilot,5,6
Qwen3.6-27B,Hydrogenolysis,outcome,P-05-A6ACE,O-04,FlowPilot,5,6
Qwen3.6-27B,Hydrogenolysis,outcome,P-05-A6ACE,O-05,TIE,4,6
Qwen3.6-27B,Hydrogenolysis,outcome,P-05-A6ACE,O-06,FlowPilot,5,6
Qwen3.6-27B,Hydrogenolysis,outcome,P-05-A6ACE,OVERALL,FlowPilot,5,6
Qwen3.6-27B,Two-stage amidation,assurance,P-06-2D620,A-01,FlowPilot,6,6
Qwen3.6-27B,Two-stage amidation,assurance,P-06-2D620,A-02,FlowPilot,6,6
Qwen3.6-27B,Two-stage amidation,assurance,P-06-2D620,A-03,FlowPilot,6,6
Qwen3.6-27B,Two-stage amidation,assurance,P-06-2D620,A-04,FlowPilot,6,6
Qwen3.6-27B,Two-stage amidation,assurance,P-06-2D620,A-05,FlowPilot,6,6
Qwen3.6-27B,Two-stage amidation,assurance,P-06-2D620,A-06,FlowPilot,6,6
Qwen3.6-27B,Two-stage amidation,assurance,P-06-2D620,OVERALL,FlowPilot,6,6
Qwen3.6-27B,Two-stage amidation,outcome,P-06-2D620,O-01,One-shot,6,6
Qwen3.6-27B,Two-stage amidation,outcome,P-06-2D620,O-02,One-shot,6,6
Qwen3.6-27B,Two-stage amidation,outcome,P-06-2D620,O-03,One-shot,4,6
Qwen3.6-27B,Two-stage amidation,outcome,P-06-2D620,O-04,One-shot,5,6
Qwen3.6-27B,Two-stage amidation,outcome,P-06-2D620,O-05,TIE,4,6
Qwen3.6-27B,Two-stage amidation,outcome,P-06-2D620,O-06,One-shot,6,6
Qwen3.6-27B,Two-stage amidation,outcome,P-06-2D620,OVERALL,One-shot,6,6
