paragraph,reference,caption_in_unchanged_esi,manuscript_text
21,Figure S4,"Figure S4. Engineering rule-base structure. (a) Counts by category and severity for the 14 largest categories. (b) Fraction of rules containing a machine-detected quantitative expression; this indicates expression coverage, not independent equation verification. (c) Non-exclusive rule-category associations across chemistry classes. (d) Computed concept co-occurrence network using the 12 most frequent concepts and 22 highest-weight links. Node area is 35 + 420 sqrt(f_i/f_max) points squared, where   is concept frequency; node color is the dominant rule-category label; edge width is 0.25 + 2.4(w_ij/w_max) points, where w_ij is the rule-level co-occurrence count. The circular layout is used only for legibility.","The engineering knowledge base contained 2,537 structured rules spanning reactor design, heat transfer, catalyst behavior, residence time, photochemistry, materials, scale-up, pressure, mixing, and safety (Figure 2e-f). Coverage was not uniform across chemistry classes: heat-transfer rules were densely associated with thermal synthesis and cross-coupling, whereas photochemistry rules concentrated in photoredox and photocycloaddition classes. This structured rule landscape supplies domain context for evaluating model-generated designs alongside deterministic checks, rather than relying only on model priors. The frozen corpus composition and computed rule-base coverage are reported in Figures S3-S4 and Tables S4-S5."
21,Table S4,Table S4. Available literature-corpus fields and available denominators.,"The engineering knowledge base contained 2,537 structured rules spanning reactor design, heat transfer, catalyst behavior, residence time, photochemistry, materials, scale-up, pressure, mixing, and safety (Figure 2e-f). Coverage was not uniform across chemistry classes: heat-transfer rules were densely associated with thermal synthesis and cross-coupling, whereas photochemistry rules concentrated in photoredox and photocycloaddition classes. This structured rule landscape supplies domain context for evaluating model-generated designs alongside deterministic checks, rather than relying only on model priors. The frozen corpus composition and computed rule-base coverage are reported in Figures S3-S4 and Tables S4-S5."
21,Table S5,Table S5. Largest engineering rule categories and severity composition.,"The engineering knowledge base contained 2,537 structured rules spanning reactor design, heat transfer, catalyst behavior, residence time, photochemistry, materials, scale-up, pressure, mixing, and safety (Figure 2e-f). Coverage was not uniform across chemistry classes: heat-transfer rules were densely associated with thermal synthesis and cross-coupling, whereas photochemistry rules concentrated in photoredox and photocycloaddition classes. This structured rule landscape supplies domain context for evaluating model-generated designs alongside deterministic checks, rather than relying only on model priors. The frozen corpus composition and computed rule-base coverage are reported in Figures S3-S4 and Tables S4-S5."
23,Figure S5,"Figure S5. Plan-aware retrieval workflow. (a) ChemistryPlan fields enrich the query before semantic retrieval; an embedding-provider failure invokes the deterministic lexical fallback without changing the query or metadata filters. (b) Tiered retrieval starts with paired records and strict mechanism/phase filters, relaxes filters when fewer than three results remain, and expands to all records only when no paired result remains; hidden source identifiers are excluded. (c) Reranking combines 0.60 semantic similarity with 0.40 field similarity before descending top-k selection.","The retrieval system was evaluated against a semantic-search baseline (Figure 3). A standard RAG pipeline embeds the batch protocol or query summary and ranks records by cosine similarity. FlowPilot enriches the query using the chemistry plan, including reaction class, mechanism, photocatalyst family, solvent, and wavelength. The filtering sequence starts with paired records under mechanism and phase constraints, relaxes filters when fewer than three matches remain, and expands to all records if no paired match remains. A field-aware score then reranks the retrieved candidates. Figure 3a summarizes this workflow, while the precise tier transitions and scoring weights are specified in Figure S5 and Table S6."
23,Table S6,Table S6. Frozen plan-aware retrieval tiers and reranking weights.,"The retrieval system was evaluated against a semantic-search baseline (Figure 3). A standard RAG pipeline embeds the batch protocol or query summary and ranks records by cosine similarity. FlowPilot enriches the query using the chemistry plan, including reaction class, mechanism, photocatalyst family, solvent, and wavelength. The filtering sequence starts with paired records under mechanism and phase constraints, relaxes filters when fewer than three matches remain, and expands to all records if no paired match remains. A field-aware score then reranks the retrieved candidates. Figure 3a summarizes this workflow, while the precise tier transitions and scoring weights are specified in Figure S5 and Table S6."
27,Figure S5,"Figure S5. Plan-aware retrieval workflow. (a) ChemistryPlan fields enrich the query before semantic retrieval; an embedding-provider failure invokes the deterministic lexical fallback without changing the query or metadata filters. (b) Tiered retrieval starts with paired records and strict mechanism/phase filters, relaxes filters when fewer than three results remain, and expands to all records only when no paired result remains; hidden source identifiers are excluded. (c) Reranking combines 0.60 semantic similarity with 0.40 field similarity before descending top-k selection.","The strongest retrieval improvement was observed for photocatalyst-family matching. For iridium systems, top-five family matching increased from 40.0% under semantic search to 95.0% after reranking. Organic-dye systems improved from 42.7% to 90.7%, ruthenium systems from 77.3% to 94.7%, TiO2 systems from 87.1% to 98.6%, and ZnO systems from 45.0% to 60.0% (Figure 3c). The demonstration in Figure 3d illustrates how field-aware ranking promotes records with a matching photocatalyst family and relevant wavelength context. These results measure metadata alignment, not the accuracy of a transferred kinetic estimate or the eventual reaction yield. Retrieval tiers, scoring weights, benchmark data, and source-exclusion controls are detailed in Figures S5-S6 and Tables S6-S7."
27,Figure S6,"Figure S6. Retrieval alignment and source-exclusion controls. (a) Top-five family match rates, with query counts. (b) Rank change across 1,600 query-result pairs; 401 (25.1%) change rank. The count axis is logarithmic; positive changes indicate promotion. (c) Mean component scores and nonzero percentages among pairs with the query field available. (d) Recorded families for an iridium query: Ir, iridium; Ru, ruthenium; ?, unassigned family, not an established mismatch. (e) Exclusion of normalized held-out source identifiers before final ranking. These metrics assess metadata alignment, not reaction success or absence from model pretraining.","The strongest retrieval improvement was observed for photocatalyst-family matching. For iridium systems, top-five family matching increased from 40.0% under semantic search to 95.0% after reranking. Organic-dye systems improved from 42.7% to 90.7%, ruthenium systems from 77.3% to 94.7%, TiO2 systems from 87.1% to 98.6%, and ZnO systems from 45.0% to 60.0% (Figure 3c). The demonstration in Figure 3d illustrates how field-aware ranking promotes records with a matching photocatalyst family and relevant wavelength context. These results measure metadata alignment, not the accuracy of a transferred kinetic estimate or the eventual reaction yield. Retrieval tiers, scoring weights, benchmark data, and source-exclusion controls are detailed in Figures S5-S6 and Tables S6-S7."
27,Table S6,Table S6. Frozen plan-aware retrieval tiers and reranking weights.,"The strongest retrieval improvement was observed for photocatalyst-family matching. For iridium systems, top-five family matching increased from 40.0% under semantic search to 95.0% after reranking. Organic-dye systems improved from 42.7% to 90.7%, ruthenium systems from 77.3% to 94.7%, TiO2 systems from 87.1% to 98.6%, and ZnO systems from 45.0% to 60.0% (Figure 3c). The demonstration in Figure 3d illustrates how field-aware ranking promotes records with a matching photocatalyst family and relevant wavelength context. These results measure metadata alignment, not the accuracy of a transferred kinetic estimate or the eventual reaction yield. Retrieval tiers, scoring weights, benchmark data, and source-exclusion controls are detailed in Figures S5-S6 and Tables S6-S7."
27,Table S7,Table S7. Frozen retrieval benchmark summary.,"The strongest retrieval improvement was observed for photocatalyst-family matching. For iridium systems, top-five family matching increased from 40.0% under semantic search to 95.0% after reranking. Organic-dye systems improved from 42.7% to 90.7%, ruthenium systems from 77.3% to 94.7%, TiO2 systems from 87.1% to 98.6%, and ZnO systems from 45.0% to 60.0% (Figure 3c). The demonstration in Figure 3d illustrates how field-aware ranking promotes records with a matching photocatalyst family and relevant wavelength context. These results measure metadata alignment, not the accuracy of a transferred kinetic estimate or the eventual reaction yield. Retrieval tiers, scoring weights, benchmark data, and source-exclusion controls are detailed in Figures S5-S6 and Tables S6-S7."
29,Table S8,Table S8. Fixed 0-4 scoring anchors used by every independent judge.,"FlowPilot was evaluated through matched architecture comparisons that held the chemistry, inventory, and requested output contract constant while changing whether the generator operated as a one-shot model or within the full pipeline (Figure 4a). The three cases were CuAAC, photochemical oxidation, and hydrogenolysis, with three independent generation repeats per model-architecture-case combination. Independent Qwen, OpenAI, and Claude judge families rated the normalized final designs against 14 fixed criteria, using the same source context and deterministic verification evidence. Applicable criteria received equally weighted integer ratings from 0 to 4, which were averaged across judges and normalized to a benchmark score from 0 to 1. Critical flags were recorded separately from the score. Scoring anchors, the criterion definitions, and module-screen summaries are provided in Tables S8-S10."
29,Table S9,"Table S9. Complete frozen outcome questions, critical-error triggers and applicability rules. Gas use denotes a gas reagent or gas-liquid process; multi-stage denotes more than one reactive stage.","FlowPilot was evaluated through matched architecture comparisons that held the chemistry, inventory, and requested output contract constant while changing whether the generator operated as a one-shot model or within the full pipeline (Figure 4a). The three cases were CuAAC, photochemical oxidation, and hydrogenolysis, with three independent generation repeats per model-architecture-case combination. Independent Qwen, OpenAI, and Claude judge families rated the normalized final designs against 14 fixed criteria, using the same source context and deterministic verification evidence. Applicable criteria received equally weighted integer ratings from 0 to 4, which were averaged across judges and normalized to a benchmark score from 0 to 1. Critical flags were recorded separately from the score. Scoring anchors, the criterion definitions, and module-screen summaries are provided in Tables S8-S10."
29,Table S10,"Table S10. All 15 internal module-ablation conditions. Means and sample SDs summarize three chemistry cases with one generation per condition-case cell; they are not repeatability estimates. Exec. rate denotes the archived executable-outcome fraction, not experimentally validated success.","FlowPilot was evaluated through matched architecture comparisons that held the chemistry, inventory, and requested output contract constant while changing whether the generator operated as a one-shot model or within the full pipeline (Figure 4a). The three cases were CuAAC, photochemical oxidation, and hydrogenolysis, with three independent generation repeats per model-architecture-case combination. Independent Qwen, OpenAI, and Claude judge families rated the normalized final designs against 14 fixed criteria, using the same source context and deterministic verification evidence. Applicable criteria received equally weighted integer ratings from 0 to 4, which were averaged across judges and normalized to a benchmark score from 0 to 1. Critical flags were recorded separately from the score. Scoring anchors, the criterion definitions, and module-screen summaries are provided in Tables S8-S10."
32,Table S11,Table S11. Matched one-shot and FlowPilot architecture scores by generator model.,"Across the five-model cohort in Table S11, full-pipeline mean scores ranged from 0.904 to 0.932, compared with 0.684 to 0.890 for matched one-shot generation (Figure 4b). The mean improvement was largest for GPT-4o (+0.226) and smaller for the Claude models (+0.034 and +0.049). Across 45 outcomes per architecture, the judges recorded 98 critical flags for one-shot and 4 for FlowPilot; 18 and 43 outcomes, respectively, had no critical flag (Figure 4c; Table S12). Thus, the observed advantage concerns consistency and completeness under the specified evaluation, not a universal ranking of models or proof of experimental success. In the internal screen, removing the council produced the largest score decrease among the configurations plotted in Figure 4d, while specialist removals had smaller and chemistry-dependent effects."
32,Table S12,Table S12. Aggregate architecture-level score and critical-error summary.,"Across the five-model cohort in Table S11, full-pipeline mean scores ranged from 0.904 to 0.932, compared with 0.684 to 0.890 for matched one-shot generation (Figure 4b). The mean improvement was largest for GPT-4o (+0.226) and smaller for the Claude models (+0.034 and +0.049). Across 45 outcomes per architecture, the judges recorded 98 critical flags for one-shot and 4 for FlowPilot; 18 and 43 outcomes, respectively, had no critical flag (Figure 4c; Table S12). Thus, the observed advantage concerns consistency and completeness under the specified evaluation, not a universal ranking of models or proof of experimental success. In the internal screen, removing the council produced the largest score decrease among the configurations plotted in Figure 4d, while specialist removals had smaller and chemistry-dependent effects."
33,Figure S7,"Figure S7. Case-specific benchmark scores for (a) CuAAC, (b) photochemical oxidation and (c) hydrogenolysis. Points and horizontal error bars show means and sample SDs across three generation repeats. Red denotes one-shot (OS); teal denotes FlowPilot (FP). Both Qwen models have 27B parameters. All 30 SDs are nonzero; small whiskers may be obscured by markers. Values beside the plots are rounded means.","Figure 4e reports the complementary resource trade-off: the Qwen configurations achieved higher score-per-generation-cost values under the recorded token-price schedule. Full-pipeline computation nevertheless includes multiple calls, so user-facing simplicity should not be confused with lower total token use. Figures S7-S10 and Tables S8-S12 provide case-level scores, scoring criteria, module results, critical-flag maps, and resource use. Tables S13-S16 define engineering closure, inventory realization, feedback records, and computational replay. Figure S11 and Table S17 illustrate user-composed input, system-assembled prompts, and returned artifacts for one matched run; the legacy heuristic QA values in that example are distinct from the fixed-criteria multi-LLM score used in Figure 4."
33,Figure S8,"Figure S8. Mean paired FlowPilot-minus-one-shot score difference for each applicable universal criterion, separated by chemistry. Positive values favor FlowPilot. UO-08 and UO-09 are omitted because their applicability is not uniform across the three chemistries.","Figure 4e reports the complementary resource trade-off: the Qwen configurations achieved higher score-per-generation-cost values under the recorded token-price schedule. Full-pipeline computation nevertheless includes multiple calls, so user-facing simplicity should not be confused with lower total token use. Figures S7-S10 and Tables S8-S12 provide case-level scores, scoring criteria, module results, critical-flag maps, and resource use. Tables S13-S16 define engineering closure, inventory realization, feedback records, and computational replay. Figure S11 and Table S17 illustrate user-composed input, system-assembled prompts, and returned artifacts for one matched run; the legacy heuristic QA values in that example are distinct from the fixed-criteria multi-LLM score used in Figure 4."
33,Figure S9,"Figure S9. Critical flags for (a) CuAAC, (b) photochemical oxidation and (c) hydrogenolysis. Each model has adjacent one-shot (OS) and FlowPilot (FP) blocks with repeats 1-3. Rows identify criteria. Cell numbers count judges flagging a critical issue, not distinct physical errors. Pale cells have no flag; gray cells with a dash are not applicable. All 90 campaigns and 990 campaign-criterion cells are retained. No critical flag does not establish experimental success.","Figure 4e reports the complementary resource trade-off: the Qwen configurations achieved higher score-per-generation-cost values under the recorded token-price schedule. Full-pipeline computation nevertheless includes multiple calls, so user-facing simplicity should not be confused with lower total token use. Figures S7-S10 and Tables S8-S12 provide case-level scores, scoring criteria, module results, critical-flag maps, and resource use. Tables S13-S16 define engineering closure, inventory realization, feedback records, and computational replay. Figure S11 and Table S17 illustrate user-composed input, system-assembled prompts, and returned artifacts for one matched run; the legacy heuristic QA values in that example are distinct from the fixed-criteria multi-LLM score used in Figure 4."
33,Figure S10,"Figure S10. FlowPilot resource use and quality per generation cost. (a) Tokens, (b) estimated generation cost from the stored token-price schedule and (c) observed runtime: mean +/- sample SD across nine campaigns per model. (d-f) Mean benchmark-score/ USD ratios for CuAAC, photochemical oxidation and hydrogenolysis, respectively, with sample SDs across three repeats, on logarithmic axes. Ratios are calculated per campaign before averaging. Judge-model costs are excluded. Runtime is environment-dependent; token pricing is not a measurement of total local deployment cost.","Figure 4e reports the complementary resource trade-off: the Qwen configurations achieved higher score-per-generation-cost values under the recorded token-price schedule. Full-pipeline computation nevertheless includes multiple calls, so user-facing simplicity should not be confused with lower total token use. Figures S7-S10 and Tables S8-S12 provide case-level scores, scoring criteria, module results, critical-flag maps, and resource use. Tables S13-S16 define engineering closure, inventory realization, feedback records, and computational replay. Figure S11 and Table S17 illustrate user-composed input, system-assembled prompts, and returned artifacts for one matched run; the legacy heuristic QA values in that example are distinct from the fixed-criteria multi-LLM score used in Figure 4."
33,Table S8,Table S8. Fixed 0-4 scoring anchors used by every independent judge.,"Figure 4e reports the complementary resource trade-off: the Qwen configurations achieved higher score-per-generation-cost values under the recorded token-price schedule. Full-pipeline computation nevertheless includes multiple calls, so user-facing simplicity should not be confused with lower total token use. Figures S7-S10 and Tables S8-S12 provide case-level scores, scoring criteria, module results, critical-flag maps, and resource use. Tables S13-S16 define engineering closure, inventory realization, feedback records, and computational replay. Figure S11 and Table S17 illustrate user-composed input, system-assembled prompts, and returned artifacts for one matched run; the legacy heuristic QA values in that example are distinct from the fixed-criteria multi-LLM score used in Figure 4."
33,Table S9,"Table S9. Complete frozen outcome questions, critical-error triggers and applicability rules. Gas use denotes a gas reagent or gas-liquid process; multi-stage denotes more than one reactive stage.","Figure 4e reports the complementary resource trade-off: the Qwen configurations achieved higher score-per-generation-cost values under the recorded token-price schedule. Full-pipeline computation nevertheless includes multiple calls, so user-facing simplicity should not be confused with lower total token use. Figures S7-S10 and Tables S8-S12 provide case-level scores, scoring criteria, module results, critical-flag maps, and resource use. Tables S13-S16 define engineering closure, inventory realization, feedback records, and computational replay. Figure S11 and Table S17 illustrate user-composed input, system-assembled prompts, and returned artifacts for one matched run; the legacy heuristic QA values in that example are distinct from the fixed-criteria multi-LLM score used in Figure 4."
33,Table S10,"Table S10. All 15 internal module-ablation conditions. Means and sample SDs summarize three chemistry cases with one generation per condition-case cell; they are not repeatability estimates. Exec. rate denotes the archived executable-outcome fraction, not experimentally validated success.","Figure 4e reports the complementary resource trade-off: the Qwen configurations achieved higher score-per-generation-cost values under the recorded token-price schedule. Full-pipeline computation nevertheless includes multiple calls, so user-facing simplicity should not be confused with lower total token use. Figures S7-S10 and Tables S8-S12 provide case-level scores, scoring criteria, module results, critical-flag maps, and resource use. Tables S13-S16 define engineering closure, inventory realization, feedback records, and computational replay. Figure S11 and Table S17 illustrate user-composed input, system-assembled prompts, and returned artifacts for one matched run; the legacy heuristic QA values in that example are distinct from the fixed-criteria multi-LLM score used in Figure 4."
33,Table S11,Table S11. Matched one-shot and FlowPilot architecture scores by generator model.,"Figure 4e reports the complementary resource trade-off: the Qwen configurations achieved higher score-per-generation-cost values under the recorded token-price schedule. Full-pipeline computation nevertheless includes multiple calls, so user-facing simplicity should not be confused with lower total token use. Figures S7-S10 and Tables S8-S12 provide case-level scores, scoring criteria, module results, critical-flag maps, and resource use. Tables S13-S16 define engineering closure, inventory realization, feedback records, and computational replay. Figure S11 and Table S17 illustrate user-composed input, system-assembled prompts, and returned artifacts for one matched run; the legacy heuristic QA values in that example are distinct from the fixed-criteria multi-LLM score used in Figure 4."
33,Table S12,Table S12. Aggregate architecture-level score and critical-error summary.,"Figure 4e reports the complementary resource trade-off: the Qwen configurations achieved higher score-per-generation-cost values under the recorded token-price schedule. Full-pipeline computation nevertheless includes multiple calls, so user-facing simplicity should not be confused with lower total token use. Figures S7-S10 and Tables S8-S12 provide case-level scores, scoring criteria, module results, critical-flag maps, and resource use. Tables S13-S16 define engineering closure, inventory realization, feedback records, and computational replay. Figure S11 and Table S17 illustrate user-composed input, system-assembled prompts, and returned artifacts for one matched run; the legacy heuristic QA values in that example are distinct from the fixed-criteria multi-LLM score used in Figure 4."
33,Table S13,"Table S13. Deterministic quantities, definitions, and closure checks.","Figure 4e reports the complementary resource trade-off: the Qwen configurations achieved higher score-per-generation-cost values under the recorded token-price schedule. Full-pipeline computation nevertheless includes multiple calls, so user-facing simplicity should not be confused with lower total token use. Figures S7-S10 and Tables S8-S12 provide case-level scores, scoring criteria, module results, critical-flag maps, and resource use. Tables S13-S16 define engineering closure, inventory realization, feedback records, and computational replay. Figure S11 and Table S17 illustrate user-composed input, system-assembled prompts, and returned artifacts for one matched run; the legacy heuristic QA values in that example are distinct from the fixed-criteria multi-LLM score used in Figure 4."
33,Table S14,Table S14. Inventory classes and deterministically checked capabilities.,"Figure 4e reports the complementary resource trade-off: the Qwen configurations achieved higher score-per-generation-cost values under the recorded token-price schedule. Full-pipeline computation nevertheless includes multiple calls, so user-facing simplicity should not be confused with lower total token use. Figures S7-S10 and Tables S8-S12 provide case-level scores, scoring criteria, module results, critical-flag maps, and resource use. Tables S13-S16 define engineering closure, inventory realization, feedback records, and computational replay. Figure S11 and Table S17 illustrate user-composed input, system-assembled prompts, and returned artifacts for one matched run; the legacy heuristic QA values in that example are distinct from the fixed-criteria multi-LLM score used in Figure 4."
33,Table S15,Table S15. Experimental feedback fields and their role in refinement.,"Figure 4e reports the complementary resource trade-off: the Qwen configurations achieved higher score-per-generation-cost values under the recorded token-price schedule. Full-pipeline computation nevertheless includes multiple calls, so user-facing simplicity should not be confused with lower total token use. Figures S7-S10 and Tables S8-S12 provide case-level scores, scoring criteria, module results, critical-flag maps, and resource use. Tables S13-S16 define engineering closure, inventory realization, feedback records, and computational replay. Figure S11 and Table S17 illustrate user-composed input, system-assembled prompts, and returned artifacts for one matched run; the legacy heuristic QA values in that example are distinct from the fixed-criteria multi-LLM score used in Figure 4."
33,Table S16,Table S16. Minimum records required for audit and computational replay.,"Figure 4e reports the complementary resource trade-off: the Qwen configurations achieved higher score-per-generation-cost values under the recorded token-price schedule. Full-pipeline computation nevertheless includes multiple calls, so user-facing simplicity should not be confused with lower total token use. Figures S7-S10 and Tables S8-S12 provide case-level scores, scoring criteria, module results, critical-flag maps, and resource use. Tables S13-S16 define engineering closure, inventory realization, feedback records, and computational replay. Figure S11 and Table S17 illustrate user-composed input, system-assembled prompts, and returned artifacts for one matched run; the legacy heuristic QA values in that example are distinct from the fixed-criteria multi-LLM score used in Figure 4."
33,Figure S11,"Figure S11. Historical prompt-footprint comparison for one matched Claude Opus 4.6 run. (a) User-facing protocol plus objective versus the complete one-shot prompt; the structured inventory is additional shared input. (b) Six FlowPilot internal prompts total 112,754 model-facing characters. (c) Archived heuristic QA diagnostics (0.96 versus 0.63), distinct from the independent multi-LLM outcome score. Validation claims apply to the final structured artifact, not the unsynchronized generated narrative. (d) Recorded computation: 50,175 tokens and 273 s versus 7,430 tokens and 100 s. Exact inputs and outputs are reproduced in the following named subsections and companion files. This is a single-run artifact comparison, not an experimental or human-usability validation.","Figure 4e reports the complementary resource trade-off: the Qwen configurations achieved higher score-per-generation-cost values under the recorded token-price schedule. Full-pipeline computation nevertheless includes multiple calls, so user-facing simplicity should not be confused with lower total token use. Figures S7-S10 and Tables S8-S12 provide case-level scores, scoring criteria, module results, critical-flag maps, and resource use. Tables S13-S16 define engineering closure, inventory realization, feedback records, and computational replay. Figure S11 and Table S17 illustrate user-composed input, system-assembled prompts, and returned artifacts for one matched run; the legacy heuristic QA values in that example are distinct from the fixed-criteria multi-LLM score used in Figure 4."
33,Table S17,Table S17. Summary of the matched run.,"Figure 4e reports the complementary resource trade-off: the Qwen configurations achieved higher score-per-generation-cost values under the recorded token-price schedule. Full-pipeline computation nevertheless includes multiple calls, so user-facing simplicity should not be confused with lower total token use. Figures S7-S10 and Tables S8-S12 provide case-level scores, scoring criteria, module results, critical-flag maps, and resource use. Tables S13-S16 define engineering closure, inventory realization, feedback records, and computational replay. Figure S11 and Table S17 illustrate user-composed input, system-assembled prompts, and returned artifacts for one matched run; the legacy heuristic QA values in that example are distinct from the fixed-criteria multi-LLM score used in Figure 4."
